,AGE,SEX,CLASS,INCTOT
149198,70,F,w,18384
25047,30,M,um,72100
165114,23,F,w,14093
116246,51,M,lm,50510
64460,46,F,um,50005
28802,36,F,um,54086
43596,16,M,um,500
143973,62,F,lm,32010
102692,56,F,lm,8950
88526,67,M,lm,13426
118153,53,M,lm,21936
183640,62,M,l,0
36144,34,F,um,3360
45141,43,F,um,70000
141022,66,M,lm,27679
13749,50,F,um,75543
57398,21,F,um,4002
177056,50,M,l,9600
150321,73,M,w,9491
88492,27,M,lm,47180
30448,53,F,um,97101
143884,46,M,lm,32080
172725,68,M,l,13145
29544,19,M,um,16050
179738,16,F,l,0
61895,49,M,um,98000
67126,50,M,um,55000
3551,20,F,um,2500
167060,67,M,w,17375
20270,15,F,um,5
135250,46,F,lm,15000
146689,63,M,lm,22848
141134,72,F,lm,22158
153825,29,F,w,26000
51563,48,F,um,26000
150776,78,F,w,16215
42783,33,M,um,10800
158508,30,M,w,5000
99588,80,F,lm,63109
177122,46,M,l,9600
52109,15,F,um,0
31784,47,F,um,79000
66097,46,F,um,55050
151123,29,M,w,20000
32776,60,M,um,25002
19702,61,M,um,100003
157624,29,F,l,8900
166973,25,F,w,12100
122839,49,F,lm,37012
23814,23,M,um,7500
36167,67,M,um,88356
87824,51,M,lm,39113
137102,24,F,lm,14578
30722,18,F,um,30000
23670,32,M,um,160507
47995,47,F,um,40000
99315,80,F,lm,63459
46226,45,M,um,83470
27576,63,F,um,35008
128771,63,M,lm,42000
36843,42,M,um,130000
112656,25,M,lm,27088
22116,61,F,um,15
79431,44,M,lm,40009
131282,26,M,lm,43
119115,20,M,w,26000
42496,45,F,um,44093
160481,53,F,l,7911
107318,65,M,lm,19149
87093,15,F,lm,1300
84362,85,F,lm,46884
178855,16,F,l,0
95144,21,M,lm,33000
156108,45,M,w,18947
47877,15,F,um,0
2986,23,M,u,40014
68296,80,F,um,90656
48438,20,F,um,12000
80527,42,M,um,3739
31061,62,F,um,128000
14258,17,F,um,615
3039,46,F,u,83350
150983,40,F,w,0
113219,65,F,lm,8131
103692,51,F,lm,60010
156180,85,F,w,24866
38689,43,M,um,84100
128996,70,M,lm,28313
87174,68,F,lm,57770
154034,69,M,w,13416
40735,44,M,um,125027
75424,28,M,um,18720
135262,57,F,lm,18000
65817,45,F,um,26000
27793,20,F,um,1200
123303,62,M,lm,0
148223,47,F,w,30000
173798,65,F,l,12059
99325,38,M,lm,40000
94135,49,M,lm,59697
65508,30,M,lm,35000
92809,72,F,lm,23940
70888,34,F,l,8580
17370,61,M,um,110628
171505,66,F,l,14135
154480,69,F,w,6681
109699,76,M,lm,19368
171475,74,F,l,14160
156298,80,M,w,12780
106991,75,M,lm,50505
116191,78,M,lm,18923
45764,48,F,um,62185
122209,85,F,lm,46683
44527,19,M,um,0
25259,60,F,um,40767
34942,58,M,um,93847
53977,29,F,um,65000
145275,77,M,lm,19969
151744,69,F,w,27410
161916,67,F,w,6888
114724,26,M,lm,51851
97545,64,F,lm,30000
75977,31,F,um,50010
49278,69,F,um,12359
184756,31,M,l,0
104202,33,F,lm,60000
61079,51,F,um,54002
47473,50,M,um,75015
120360,31,F,lm,45009
115192,63,F,lm,15994
48125,37,F,um,42001
167478,54,M,w,17000
116320,71,M,lm,36848
74194,35,M,um,60000
25237,19,M,um,3000
110353,56,M,lm,45001
83847,50,M,um,75515
89174,39,M,lm,28000
123444,57,F,lm,733
113768,37,M,lm,32625
162732,80,F,w,20053
97565,48,M,lm,65000
179790,19,F,l,0
57238,61,F,lm,13848
39771,53,M,um,79350
123426,78,F,lm,16879
178371,65,F,l,8506
139835,44,F,lm,20000
142403,55,F,lm,15203
130763,24,M,lm,7200
32691,60,F,um,105100
48782,43,M,um,41003
99484,58,M,lm,11999
26878,58,F,um,76000
50288,43,F,um,35001
8797,40,M,um,72812
49068,44,F,lm,67330
112460,41,M,lm,0
13283,49,M,um,125025
139046,62,F,lm,15048
125652,68,M,lm,34206
37605,45,F,um,80283
70125,40,F,um,52003
639,19,M,u,9000
4136,36,M,um,311846
151121,22,M,w,9000
173112,38,F,l,12801
168817,17,M,l,0
15964,24,F,um,30007
43022,63,F,um,51304
164564,19,M,w,0
176834,16,F,l,0
66514,68,F,um,43728
5032,21,F,um,1000
103911,30,F,l,0
7569,29,F,um,200760
105618,61,F,lm,58277
66354,65,F,um,77229
131850,61,F,lm,0
109157,61,F,lm,11630
6535,16,M,um,0
153513,62,F,w,26059
140962,63,F,lm,18742
61575,46,F,um,40000
144992,35,F,lm,17592
122211,64,F,lm,10127
119241,72,F,lm,48956
21837,24,F,um,38060
96640,39,F,lm,65342
8907,34,F,um,64261
141185,77,M,lm,25700
18095,46,F,um,125020
131869,54,M,lm,40000
140443,29,F,lm,24000
165191,29,M,w,2400
138754,43,M,lm,22461
161301,80,M,w,21011
26190,51,F,um,48337
106529,44,F,w,28430
64823,47,F,um,21000
64358,57,M,um,95030
82217,32,M,um,33000
13221,72,F,um,63000
36042,43,F,um,100250
17051,66,M,um,126409
97936,51,M,lm,50000
105229,40,F,lm,59148
106194,46,M,lm,58279
28064,20,M,lm,75000
150066,80,F,w,10320
171508,56,F,l,4000
14455,28,F,um,60000
42507,36,M,um,117319
185250,61,F,l,0
86289,56,M,lm,74326
177405,85,F,l,9240
103342,35,M,lm,60060
89939,26,F,lm,23
101682,33,M,lm,24051
6461,30,F,um,170020
135862,41,F,lm,37400
86468,69,F,lm,44464
106445,16,F,lm,0
150139,38,M,w,15600
164547,70,F,w,0
11198,49,M,um,135750
69256,46,M,um,90001
96525,65,F,lm,49085
133525,49,F,lm,5000
152267,31,F,w,27001
167352,67,M,l,13544
113458,50,M,lm,52635
105113,51,F,lm,32881
79024,29,M,um,42525
159788,67,F,w,22121
65032,44,F,lm,31500
136591,21,M,lm,15000
9527,28,M,um,116105
83432,16,F,um,1000
73871,16,M,um,0
126725,16,F,lm,0
99997,18,F,lm,0
119532,47,M,lm,11854
25164,65,M,um,79941
38259,27,M,um,14500
44959,27,F,um,13000
136618,20,F,l,2500
161801,65,M,w,8800
19679,52,M,um,52000
73876,58,M,um,45015
12907,45,F,um,51131
72161,37,M,um,60000
134067,48,M,lm,38664
33939,35,M,um,49175
154311,21,M,l,1600
53875,18,M,um,11
148134,32,F,w,0
128954,34,M,lm,20000
132294,36,F,lm,25000
17004,50,F,um,39001
34517,24,F,um,92411
169815,17,M,l,9
181333,36,F,l,1548
49956,49,F,um,48335
122832,39,F,lm,30001
156379,44,F,w,9636
121304,22,F,lm,47400
160336,68,F,w,5
86331,49,F,lm,6260
168768,41,F,l,16000
138919,59,F,lm,0
138976,68,F,l,14376
168405,68,F,w,16252
15513,37,F,um,65029
1153,60,F,u,495279
132236,53,M,lm,25000
31347,41,F,um,103922
87245,72,M,lm,34154
185364,18,M,l,0
103379,50,M,lm,42025
49107,71,M,um,100304
112179,69,F,lm,9654
74705,16,M,um,3500
164440,79,F,w,19259
120238,35,M,lm,48002
128733,46,F,lm,42000
114266,37,M,lm,30001
105835,63,M,lm,21237
158614,28,F,w,23000
145985,24,M,l,16000
35964,22,F,um,28002
39614,48,M,lm,54452
49995,21,F,um,11000
136356,48,F,lm,17000
9749,65,M,um,215710
78627,41,M,um,40003
130617,33,F,lm,1
99971,43,M,lm,43000
41543,60,F,um,0
134111,33,F,lm,38627
107488,37,M,lm,26010
163809,65,F,w,19897
78958,45,F,lm,40129
166910,31,F,l,2500
72106,61,F,um,87000
119251,15,F,lm,2000
163755,77,M,w,19979
8054,66,F,um,109049
28999,41,M,um,70323
30814,20,M,um,36900
67923,42,F,um,85339
165563,80,F,w,18354
63788,49,M,um,77903
121974,80,F,lm,46955
145866,40,M,l,0
164234,67,M,w,11349
109980,58,M,lm,27050
22975,31,F,lm,40006
97041,73,F,lm,65060
94956,26,F,w,25000
104629,23,M,lm,22500
6245,25,M,um,8700
100288,33,M,lm,45000
115440,85,F,lm,10859
119722,29,M,lm,28000
72353,59,M,um,54600
40521,16,M,um,21
177587,58,F,l,9003
31313,44,M,um,79969
99548,17,F,lm,2896
173430,19,F,l,12500
27981,16,M,um,0
121411,85,F,lm,7623
176260,57,F,l,10055
23286,58,F,um,0
43468,20,F,um,35514
13304,33,F,um,116002
17241,53,F,um,46012
121980,34,M,lm,46937
53364,52,M,um,65373
68800,59,M,um,90126
116525,79,M,lm,14735
109606,48,F,lm,30228
164637,68,F,w,9480
148260,65,M,w,30000
173756,71,F,l,0
94990,41,F,lm,52000
129551,15,F,lm,0
108347,40,F,lm,32489
165631,19,M,w,4632
44724,34,F,um,69502
105754,17,M,lm,0
98167,77,M,lm,24193
42956,38,M,um,100008
46177,45,F,um,16002
115520,27,M,lm,10000
150422,16,M,w,1350
115033,85,F,lm,51529
165169,59,M,w,18705
101310,17,M,lm,11
89285,60,M,lm,34400
1427,39,F,lm,40003
78802,69,M,um,39713
171802,59,F,l,0
38906,43,F,um,40022
141698,40,M,l,12000
110020,30,M,lm,35025
8621,66,F,um,82953
73443,30,M,lm,52019
36783,31,M,um,115860
131931,50,F,lm,40000
115784,38,F,lm,16000
116479,41,M,lm,11300
107637,41,M,lm,54008
113624,69,F,lm,24059
122143,25,M,lm,6750
72411,15,M,um,1343
22051,63,F,um,30084
102963,24,M,w,0
18229,66,F,um,59553
172346,32,M,l,13349
141324,38,M,lm,30014
135658,72,F,lm,0
185347,23,F,l,0
168263,85,F,w,16356
309,15,F,u,0
183536,32,M,l,0
136757,60,M,lm,36824
135583,55,F,lm,37632
126913,58,M,lm,13200
34527,15,F,um,21
92982,50,F,lm,18884
165518,38,F,l,10002
55597,52,M,lm,50000
161007,22,M,l,15000
160742,62,M,w,10400
121315,77,F,lm,11280
131280,57,M,w,28788
133877,76,M,lm,9355
4175,30,M,um,17810
119920,50,F,lm,0
48185,29,F,um,21050
15491,61,F,um,35000
45880,55,M,lm,62150
144505,30,F,lm,0
14324,19,M,um,5400
185324,33,F,l,0
85891,60,F,lm,9840
36955,19,M,um,24960
179842,26,F,l,6404
168371,85,M,w,10139
25576,66,M,um,112621
80039,66,M,um,62877
75532,23,M,um,37000
60360,24,M,um,0
26269,38,F,um,59434
136167,45,F,lm,0
145261,53,M,lm,31350
90075,44,F,lm,1
105299,48,F,lm,24082
91397,35,F,lm,30003
77360,26,F,lm,33975
145075,59,M,lm,31522
116462,68,M,lm,50309
30104,75,F,um,38196
136394,28,M,lm,25000
167058,65,M,w,17376
74407,49,M,um,45000
106835,80,M,lm,28563
124631,16,F,lm,2000
158423,23,F,l,0
182017,69,M,l,2178
83295,79,F,um,22263
73824,23,M,um,45036
153008,74,F,w,12059
115426,17,M,lm,30
61378,48,F,um,49674
120380,17,M,lm,0
160791,68,M,w,13200
47946,55,M,um,32028
22093,23,M,um,26001
50081,71,M,um,67244
144712,71,M,lm,31864
5551,36,M,um,161642
36070,18,M,um,75
165319,22,M,w,7470
48578,21,F,lm,35505
55100,43,F,um,12015
100027,68,M,lm,62905
75514,20,F,w,28004
68292,43,M,um,50007
1054,33,F,u,0
142331,29,F,lm,18927
101817,20,M,lm,0
87712,59,F,lm,27000
98775,42,M,lm,17000
50733,45,F,um,30002
32491,61,F,um,55185
163783,39,F,w,11520
142851,58,M,w,24000
179146,59,F,l,18
73569,52,F,um,0
121979,33,M,lm,31000
112097,46,F,l,9756
40467,16,M,um,0
182589,35,F,l,0
84474,50,F,um,75595
119596,28,M,lm,7990
120650,80,F,lm,0
11120,24,M,um,117577
13408,40,M,um,202073
94891,50,M,lm,67000
59500,31,F,um,64003
42070,41,F,lm,50001
91469,56,M,lm,70002
1736,26,F,u,0
100965,43,F,lm,1
181290,15,M,l,0
88076,17,F,lm,214
131694,27,F,lm,0
110989,68,M,lm,21498
95781,38,F,lm,14323
96847,85,F,lm,16356
30497,61,F,um,35086
55208,48,M,um,40060
47386,34,M,um,55000
47574,55,M,um,80002
169752,37,M,l,9050
25958,57,M,um,65005
70116,51,F,lm,26086
65692,58,M,um,0
7606,56,F,um,250900
161973,26,M,w,0
90765,28,M,lm,15200
78683,22,M,l,0
115079,29,F,lm,1000
67910,22,F,um,11000
82870,17,F,w,35
99354,63,F,lm,0
138665,39,M,lm,28800
99178,66,M,lm,26560
122668,16,M,lm,0
44451,56,F,um,0
91572,54,M,lm,20000
2225,61,M,u,376579
172974,48,F,l,13000
11015,45,F,um,48202
172146,61,M,l,13583
56822,47,F,um,103212
66833,41,F,um,1
184345,55,F,l,0
147557,31,F,l,0
184886,75,F,l,0
141082,25,M,lm,30000
21377,53,M,w,30000
91005,53,M,lm,50100
99642,54,M,lm,27054
176917,23,M,l,0
48911,60,F,um,15002
20207,60,M,um,108008
1673,17,M,u,4000
99984,36,M,lm,45000
56315,49,F,um,100003
174915,58,M,l,11304
7701,44,M,um,250162
106618,46,M,lm,28000
97657,26,F,lm,65000
16960,16,F,um,0
156254,27,M,w,8796
91659,55,M,lm,55000
77168,15,M,um,0
82750,35,F,um,27032
122184,66,F,lm,46694
16027,35,F,um,75016
108841,73,M,lm,32018
148591,70,F,w,29880
149437,22,F,w,29010
133218,27,M,lm,22221
55832,19,M,um,4500
113971,15,M,lm,4700
149905,37,M,w,28804
68181,85,F,um,49002
164615,80,F,w,19102
182485,48,F,l,1368
119503,65,F,lm,48707
167406,42,M,w,0
26596,48,M,um,88060
13045,42,F,um,54316
166601,20,M,w,0
49732,15,F,um,0
90395,34,F,lm,70732
66405,15,M,lm,0
145999,18,F,lm,1000
176421,21,F,l,10000
122475,39,M,lm,0
167530,48,F,w,3000
20648,47,M,um,60352
29862,24,F,lm,32500
181983,23,M,l,0
145120,34,M,lm,31500
97590,17,F,lm,0
8574,18,M,um,0
39875,42,F,um,0
104749,85,F,lm,59700
99784,15,M,lm,0
98325,47,M,w,28000
63785,33,F,l,0
119621,29,F,l,13000
105736,30,M,lm,58816
86359,36,M,lm,62002
37119,75,M,um,83351
100679,64,F,lm,49052
164081,85,F,w,19549
45282,53,M,um,62059
29944,63,M,um,53084
133516,16,M,w,12019
37205,49,F,um,42123
126645,37,F,lm,3500
106371,54,F,lm,18075
181502,80,F,l,3480
101027,44,F,lm,30000
35353,36,M,um,53000
114073,24,F,lm,52027
85943,15,M,lm,0
22799,52,F,um,88455
173819,85,F,l,12048
14511,53,F,um,5150
23767,47,F,um,104982
168461,37,F,w,16200
159142,74,M,w,11920
57730,74,M,um,90730
39366,17,F,um,0
1377,46,F,u,370091
64259,35,M,um,40065
151813,61,F,w,0
165215,15,F,w,6660
79944,43,M,um,80000
14424,38,F,um,82450
158712,40,F,w,0
63967,53,F,um,55000
184570,71,M,l,0
29370,39,F,lm,72740
52234,73,F,um,96000
162445,39,F,w,20251
94929,49,M,lm,60000
126611,61,F,lm,30009
50378,32,M,um,59010
131293,54,F,lm,40040
108788,56,M,lm,50003
139727,23,M,lm,35000
76408,85,M,um,26675
83321,65,F,um,13550
91605,16,M,lm,0
84433,38,F,um,3926
118024,30,M,lm,50000
62720,23,M,um,96831
80111,23,F,um,62802
21992,18,F,um,0
97006,26,F,lm,33001
136122,35,M,lm,25600
86197,42,M,lm,65608
130344,72,F,l,0
63127,32,M,um,71100
160965,19,F,w,0
146811,43,M,lm,16224
39484,37,F,lm,67032
135359,80,F,lm,37897
157234,44,M,w,24000
43703,41,M,um,70323
1113,57,F,u,65008
86400,17,M,lm,0
79242,53,M,lm,22000
99835,43,M,lm,63001
82975,39,F,um,0
3142,44,F,u,151000
108408,25,F,w,24000
31447,59,F,um,20251
32381,50,F,um,140600
141947,35,M,lm,0
79684,40,F,w,30000
110150,24,M,lm,55020
131495,36,M,lm,40006
180032,25,M,l,6002
154115,75,F,w,6799
43669,25,M,um,4800
99979,45,M,lm,33000
35031,62,F,um,0
79565,34,M,um,45001
167625,49,M,w,8000
120990,53,M,lm,47144
127468,20,F,lm,15300
162398,64,F,w,6725
94893,44,M,lm,30000
115189,74,F,lm,14095
162568,61,F,w,20196
99895,31,F,lm,35000
53549,24,F,um,20010
168320,24,F,w,16300
140708,69,F,lm,34560
78856,45,F,um,57220
96572,33,F,l,1002
56073,19,M,um,6170
31962,50,M,um,142710
116978,85,F,lm,50029
144025,65,M,lm,32010
166907,29,F,w,17502
140400,85,F,lm,34880
58334,72,M,um,79006
56840,36,F,um,103173
130407,22,M,l,11180
175862,80,M,l,10360
103657,31,F,l,0
36922,48,M,um,102888
140311,70,M,lm,25332
137811,16,M,l,0
86180,26,F,lm,30000
113038,31,F,lm,33000
181603,77,M,l,3102
158946,75,M,l,15659
168626,61,M,w,3600
179697,68,F,l,6661
50863,46,M,um,65220
169990,36,F,l,0
54526,34,M,um,69002
11335,51,F,um,30401
30422,57,M,um,90001
113069,21,M,lm,25000
20210,79,M,um,19287
47456,59,M,um,72017
3348,54,F,um,32298
80639,85,F,um,79129
66501,63,M,um,75969
115557,62,M,lm,20034
30355,62,M,um,103028
172376,36,F,l,11823
96945,54,M,lm,65100
40111,34,F,um,43006
79918,17,F,um,7000
126876,66,M,lm,28973
88665,43,M,lm,36028
142940,20,M,lm,10000
134492,67,F,lm,33628
23603,67,M,um,128050
117649,31,F,lm,13000
130591,22,M,lm,3250
165480,85,M,w,18441
178045,44,F,l,8796
151915,32,M,w,14002
84620,58,F,um,74220
155020,46,F,w,6059
78678,30,F,um,3
109723,19,F,lm,0
18228,30,F,um,90216
179046,61,M,l,7800
165600,47,F,w,18301
126484,29,M,lm,36073
46653,44,F,um,2032
134562,77,F,lm,13020
104610,53,F,lm,39657
65851,67,M,um,40104
160605,59,F,w,21700
130646,63,M,lm,500
143197,68,M,lm,32810
102348,29,F,lm,15000
88692,63,M,lm,51620
175036,85,F,l,11100
123000,32,F,lm,38002
44,70,F,u,186310
167770,75,M,w,16859
116895,18,F,lm,8051
155212,22,M,l,5002
84019,40,M,um,64000
68007,25,F,um,13000
83754,57,M,um,49680
58838,24,F,lm,58001
124223,31,F,lm,45020
173360,18,M,l,250
153019,48,F,l,0
6836,46,M,um,220000
168948,70,M,l,15924
110588,46,M,lm,28000
72958,36,M,um,80001
16406,45,F,um,112210
47864,19,F,l,400
31151,15,F,um,8050
30721,44,M,um,58323
94535,42,M,lm,67210
102705,40,M,lm,54065
167641,40,M,w,17000
181464,33,M,l,2502
162625,75,F,w,20130
166755,73,M,w,10800
78898,67,M,um,70525
30775,48,M,um,97610
58229,60,F,um,0
14236,47,M,um,169000
111961,57,M,lm,40000
56469,34,F,um,24692
173623,85,F,l,12203
183664,57,M,l,0
117908,15,M,lm,0
48,16,M,u,0
124590,22,M,lm,45001
126714,39,F,lm,26400
156975,62,F,w,7206
121966,52,M,lm,25161
16947,56,M,um,50000
86601,50,F,lm,34017
26484,56,M,um,50000
115692,40,M,lm,40000
179378,60,F,l,7200
59270,19,M,um,15000
53114,66,F,um,33408
5747,35,M,um,133308
137325,19,F,l,10800
22956,39,F,um,65373
138982,74,F,lm,8796
4034,55,F,um,150342
149768,63,M,w,15756
150230,17,M,w,0
33997,50,M,um,100000
49685,60,M,um,40000
135026,56,M,lm,33000
151725,57,M,w,27432
89152,72,F,lm,17207
143846,16,M,lm,0
60890,16,F,um,0
54453,18,F,um,16009
82102,56,F,um,48000
100577,65,M,lm,55000
130404,67,F,lm,10721
49424,32,F,lm,63202
40087,35,F,um,30008
116514,69,F,lm,17142
48600,20,M,um,2500
168257,26,F,w,16360
12458,16,F,um,0
136843,20,M,lm,10700
69128,33,F,um,5
173729,60,M,l,12114
25491,33,F,um,40125
183254,37,M,l,50
47719,56,M,um,100898
4769,53,M,um,246540
92260,61,M,lm,34820
95906,23,M,lm,66009
157996,22,F,w,10003
548,51,F,u,800000
84553,29,F,um,8001
185073,55,F,l,0
90009,44,M,lm,38008
242,51,F,u,9814
180090,35,F,l,6000
20765,48,M,um,150031
114181,28,F,lm,0
154334,43,F,w,0
96776,35,F,lm,0
26480,45,F,um,51504
13671,40,F,um,30000
121026,80,F,lm,7595
95173,56,M,lm,44093
170824,70,F,l,14760
179375,47,F,l,7200
151859,48,F,w,16222
131972,40,M,lm,40000
166622,41,M,w,17800
128981,59,F,lm,0
46212,52,F,um,26640
107252,80,M,lm,21365
164333,74,M,w,9669
65569,39,M,um,29000
138272,24,F,lm,36000
47703,57,M,um,15000
31290,44,M,um,70006
94559,44,F,lm,41600
45402,16,M,um,100
41317,21,F,um,0
119436,53,F,lm,30000
165728,21,M,l,0
143766,57,F,lm,32203
113089,30,F,lm,15000
161038,78,M,w,15464
184649,41,F,l,0
35640,57,F,um,14400
124508,65,F,lm,2
183306,47,F,l,23
130690,53,M,lm,8640
148678,48,F,w,17760
25384,16,M,um,0
66544,85,F,um,29839
53185,51,M,um,107558
165706,69,M,w,4945
162324,80,F,w,20399
81088,51,M,um,30003
136218,25,M,w,20063
124692,34,F,w,17000
88238,45,F,lm,8964
59180,33,M,um,80128
168427,74,M,w,16226
1786,35,F,u,92501
129216,39,F,lm,16
118311,50,F,lm,50034
174740,17,F,l,0
32374,39,F,um,39955
161340,51,M,w,21002
375,39,M,u,1038920
10962,45,M,um,89500
45837,41,M,um,100000
112199,25,F,lm,20000
3399,21,F,um,30007
14869,45,M,um,138000
69638,35,F,lm,45320
119714,39,F,lm,6000
147836,43,M,w,30000
28334,47,M,um,120006
101894,68,M,lm,49127
117022,63,F,lm,20010
98244,53,F,lm,627
16403,48,M,um,75010
132380,53,F,lm,40000
164753,15,M,w,0
86165,61,M,lm,2
118767,46,M,lm,7164
118400,66,M,lm,13944
139740,59,F,lm,0
27491,36,F,um,80138
171445,22,F,l,3200
65287,47,F,um,0
77649,36,M,um,81541
50580,30,M,um,33280
40692,38,M,um,60010
55800,57,M,um,104572
172899,45,F,l,13000
119209,21,M,lm,0
162316,36,F,w,8400
95097,72,M,lm,41592
54689,30,M,lm,50645
143517,18,M,l,7500
20328,40,F,um,18610
137036,63,F,lm,20156
98134,58,F,lm,38000
18395,80,F,lm,17486
129367,62,F,lm,38000
165539,79,F,w,18397
47629,56,M,um,50500
6382,25,F,w,30000
138281,69,M,lm,26238
44229,46,F,um,0
181871,36,F,l,200
18607,27,F,l,3050
173940,33,M,l,12000
113858,16,F,lm,0
1932,75,F,u,17400
87976,19,F,lm,21505
129525,55,M,lm,41360
25060,39,M,um,95000
83998,35,F,um,30001
66166,47,F,um,28050
26714,63,F,um,65068
115160,66,M,lm,51408
184173,64,M,l,0
179898,29,M,l,6274
181367,19,F,l,3670
140047,47,F,lm,5000
102280,41,F,lm,40000
54031,76,F,um,78525
25767,16,M,um,0
101756,73,M,lm,61274
60818,16,F,um,6000
167286,80,M,w,17141
25157,27,M,lm,55003
47779,39,F,um,39815
74703,22,F,um,23400
122738,39,F,lm,20000
139534,25,F,lm,20001
73032,18,M,um,19000
179067,52,F,l,7734
39924,15,F,um,10000
143590,36,F,l,0
109998,26,M,lm,40010
46059,27,M,lm,59020
28137,40,F,um,30057
49582,49,M,lm,62016
165448,76,M,w,18480
110595,15,F,lm,0
57281,31,M,um,85000
27819,20,M,um,2
108895,30,M,lm,38005
175591,57,F,l,10656
168303,48,F,w,3378
122852,29,F,l,16000
11991,56,M,um,52297
42476,18,F,um,6000
135783,66,F,lm,17321
161186,80,M,w,12899
72562,28,F,um,225
165822,59,M,w,2502
138035,15,M,lm,0
60450,38,F,um,35000
42914,23,M,um,4500
29185,44,F,um,108002
24919,27,M,um,33528
98870,38,M,lm,32000
47951,41,M,um,40011
48648,50,M,um,76200
130482,37,F,lm,40593
96220,31,M,lm,17600
97964,16,F,lm,21600
9059,85,M,um,200999
64032,45,F,um,14000
66160,64,M,um,93050
30382,41,M,um,85070
19950,48,M,um,80150
49980,85,F,um,10440
18126,35,M,um,180020
113501,36,F,lm,20459
178483,69,F,l,8415
57134,67,M,um,0
99903,27,M,lm,20000
163430,28,M,w,20000
66853,26,F,lm,13000
52928,26,M,lm,55000
82846,30,F,um,10
43951,27,M,lm,45000
60301,66,F,um,0
2180,18,M,u,0
2052,46,M,u,181455
73061,34,M,um,69998
23188,15,M,um,0
81651,65,F,lm,47031
175395,70,F,l,10836
92379,38,F,l,0
139630,19,F,l,10000
21848,49,M,um,121657
143348,79,F,lm,6500
76123,33,M,um,38000
2175,57,F,u,70010
139291,27,F,lm,10
112671,54,F,lm,15856
138436,34,M,lm,35000
174411,33,F,l,11871
135973,72,F,lm,37275
179837,60,F,l,0
26050,53,F,um,67265
59050,69,F,um,100591
41477,63,F,um,0
117420,45,F,lm,50001
1880,45,F,u,35016
101251,43,M,lm,13000
59885,46,M,um,100012
97254,37,M,lm,25000
35264,29,M,um,70006
66741,23,M,um,14000
125292,59,F,l,0
18288,52,F,um,25500
156392,80,F,w,24625
147258,38,M,lm,30014
15090,21,F,um,15010
21363,45,M,um,150000
181272,61,F,l,4000
10483,60,F,um,0
14310,29,F,um,38475
105421,21,M,lm,0
88365,37,M,lm,42002
174579,30,M,l,4160
60144,56,F,um,100000
100238,43,M,lm,8000
95549,33,M,lm,25000
171872,59,M,l,13875
106744,57,M,lm,0
169929,51,F,l,15058
166228,70,M,w,18000
101738,85,M,lm,27301
126898,64,F,w,20000
95676,37,M,lm,42097
156912,59,F,w,991
32498,45,M,um,120163
170221,29,F,l,15000
137608,43,M,lm,36100
174598,49,F,l,11639
43396,58,M,um,11690
106288,56,F,lm,18050
7360,51,F,um,146286
141832,50,M,l,0
139857,36,F,l,0
137725,44,F,lm,29000
43595,52,M,um,85000
94560,32,M,lm,25600
165091,79,F,w,18801
63746,39,M,um,31210
124543,18,F,lm,4801
69079,29,F,um,38010
153623,35,M,w,26001
176178,80,F,l,10104
185079,16,F,l,0
89969,68,M,lm,39015
7016,47,F,um,58020
105404,44,M,lm,59005
36879,50,M,um,120000
23964,43,F,um,90005
153899,36,M,w,0
153167,62,M,w,26403
151999,78,F,w,13205
100703,66,M,lm,34752
17644,40,M,um,90007
50317,53,M,um,96100
169906,42,F,l,15079
48067,65,F,um,14030
87508,16,M,lm,0
170941,65,F,l,14608
128972,68,F,lm,17428
71803,30,F,um,150
41957,36,M,um,123120
40098,24,M,lm,31030
13261,67,F,um,102658
130104,35,F,lm,20000
70681,79,F,um,5621
85274,59,F,um,0
48893,39,M,um,63010
114301,23,F,l,12000
21162,50,M,um,103622
111576,44,M,lm,30001
99644,40,M,lm,39681
172105,80,F,l,9720
179379,77,F,l,7200
85768,46,F,lm,0
4533,37,M,um,151000
151631,17,M,w,0
159025,85,F,w,22800
108978,19,F,lm,10000
174278,49,M,l,12000
28318,43,F,um,4
10972,45,F,um,66000
10204,54,F,um,10000
128558,21,F,l,5000
171688,29,F,l,14000
61771,29,F,um,22000
97522,19,M,lm,0
91716,34,M,lm,25000
92547,40,M,lm,69035
65683,48,F,um,10046
14881,33,F,um,85002
134878,27,F,w,26020
94061,28,F,lm,46003
165171,16,F,w,1200
22474,52,F,um,10000
108223,31,M,lm,56000
122169,43,M,lm,46706
8561,79,M,um,138259
180276,19,M,l,5000
117291,62,F,lm,20002
72538,42,M,lm,62000
161499,52,F,w,0
114975,33,F,lm,15600
168112,79,M,w,16548
11961,39,F,um,30808
182625,74,F,l,660
106675,24,M,w,23000
6056,71,M,um,150410
150846,49,M,w,17002
80438,68,M,um,2304
123964,80,F,lm,0
159707,35,F,w,22200
21383,26,F,um,35000
111140,31,F,lm,36502
110153,34,F,lm,10
180793,32,F,l,0
74271,56,M,um,0
119333,33,F,lm,48869
58413,74,M,l,10728
19374,44,M,um,110010
31295,33,M,um,101915
138063,35,F,lm,5000
168234,57,F,w,14000
137063,53,M,lm,9660
4108,48,F,um,80086
126795,38,F,lm,43281
163369,44,M,w,20000
77065,55,F,lm,63002
38754,85,M,um,75515
26710,62,M,um,152997
13791,50,F,um,30026
122384,36,F,lm,6500
6122,85,F,lm,43187
185108,64,M,l,0
60802,56,M,um,23500
